2;2;EmbKer;0.00021839141845703125;0;opt_kernel;0.07199883460998535;10;train_svm;0.026323556900024414;4;validate;0.030696868896484375;4
2;3;EmbKer;0.00018858909606933594;0;opt_kernel;0.19141149520874023;30;train_svm;0.05919146537780762;9;validate;0.05321478843688965;9
2;4;EmbKer;0.0002315044403076172;0;opt_kernel;0.38669276237487793;60;train_svm;0.09797430038452148;16;validate;0.08420038223266602;16
2;5;EmbKer;0.00020360946655273438;0;opt_kernel;0.6033322811126709;100;train_svm;0.1547551155090332;25;validate;0.1439342498779297;25
2;6;EmbKer;0.00020051002502441406;0;opt_kernel;0.9068455696105957;150;train_svm;0.20045232772827148;36;validate;0.2097182273864746;36
2;7;EmbKer;0.0001983642578125;0;opt_kernel;1.1927838325500488;210;train_svm;0.273395299911499;49;validate;0.268963098526001;49
2;8;EmbKer;0.00019478797912597656;0;opt_kernel;1.6099920272827148;280;train_svm;0.3600807189941406;64;validate;0.34093379974365234;64
2;9;EmbKer;0.0002048015594482422;0;opt_kernel;2.07795786857605;360;train_svm;0.4398207664489746;81;validate;0.4382772445678711;81
2;10;EmbKer;0.00019931793212890625;0;opt_kernel;2.550307512283325;450;train_svm;0.5845901966094971;100;validate;0.5611519813537598;100
2;11;EmbKer;0.00018906593322753906;0;opt_kernel;3.057252883911133;550;train_svm;0.6956586837768555;121;validate;0.6752042770385742;121
2;12;EmbKer;0.0002014636993408203;0;opt_kernel;3.8126964569091797;660;train_svm;0.8046817779541016;144;validate;0.7882838249206543;144
2;13;EmbKer;0.0002067089080810547;0;opt_kernel;4.330805540084839;780;train_svm;0.9584484100341797;169;validate;0.9405603408813477;169
2;14;EmbKer;0.000244140625;0;opt_kernel;4.939942836761475;910;train_svm;1.0385804176330566;196;validate;1.0370478630065918;196
2;15;EmbKer;0.00024056434631347656;0;opt_kernel;5.906514883041382;1050;train_svm;1.2875514030456543;225;validate;1.2311878204345703;225
2;16;EmbKer;0.0001933574676513672;0;opt_kernel;6.696935176849365;1200;train_svm;1.438819408416748;256;validate;1.3906373977661133;256
2;17;EmbKer;0.00019860267639160156;0;opt_kernel;7.464561939239502;1360;train_svm;1.516150951385498;289;validate;1.5316267013549805;289
2;18;EmbKer;0.00018310546875;0;opt_kernel;8.249652862548828;1530;train_svm;1.7152647972106934;324;validate;1.7302472591400146;324
2;18;EmbKer;0.00019407272338867188;0;opt_kernel;8.352396011352539;1530;train_svm;1.6901991367340088;324;validate;1.6768672466278076;324
2;18;EmbKer;0.00018525123596191406;0;opt_kernel;8.168088436126709;1530;train_svm;1.715803623199463;324;validate;1.7061290740966797;324
